Red,ESIME,,,,,,
Estación,UNISON,,,,,,
Ubicación,SONORA,,,,,,
Latitud (N),29.014278,,,,,,
Longitud (O),-111.135593,,,,,,
Altitud,0,,,,,,
,,,,,,,
,,,,,,,
AAAA/MM/DD HH:MM HORAZ,Dirección de ráfaga (grados),Dirección del Viento (grados),Humedad relativa (%),Precipitación (mm),Radiación Solar (W/m²),Temperatura del Aire (°C),Presión Atmosférica
2018-09-04 18:10,135,338,,,,,
2018-09-04 18:00,214,37,,,,,
2018-09-04 17:50,172,70,,,,,
2018-09-04 17:40,251,53,46,0,838,34.9,993.5
2018-09-04 17:20,246,163,53,0,724,33.8,993.7
2018-09-04 17:10,310,201,51,0,775,34.2,993.7
2018-09-04 13:30,58,45,92,0,26,25.6,992.8
2018-09-04 13:20,68,49,93,0,14,25.4,992.7
2018-09-04 13:10,63,47,93,0,5,25.3,992.5
2018-09-04 13:00,81,66,93,0,1,25.3,992.4
2018-09-04 12:50,69,56,94,0,-1,25.1,992.4
2018-09-04 12:40,51,39,94,0,-1,25.1,992.3
2018-09-04 12:30,55,48,94,0,-1,25.1,992.3
2018-09-04 12:20,54,46,94,0,-1,25.2,992.2
2018-09-04 12:10,88,62,93,0,-1,25.2,992.2
2018-09-04 12:00,71,45,93,0,-1,25.3,992.1
2018-09-04 11:50,74,41,93,0,-1,25.4,992.1
2018-09-04 11:40,28,6,92,0,-1,25.6,992
2018-09-04 11:30,77,61,92,0,-1,25.7,992
2018-09-04 11:20,71,42,92,0,-1,25.6,992.1
2018-09-04 11:10,49,38,92,0,-1,25.4,992.1
2018-09-04 11:00,0,0,92,0,-1,25.4,992
2018-09-04 10:50,66,41,91,0,-1,25.5,992
2018-09-03 22:10,283,229,43,0,131,34.9,990
2018-09-03 22:00,315,267,41,0,194,35.5,990.2
2018-09-03 21:50,246,133,42,0,178,35.2,990.4
2018-09-03 21:40,251,66,39,0,182,36.1,990.6
2018-09-03 21:30,223,111,38,0,899,36.6,990.8
2018-09-03 21:20,241,54,39,0,888,36.7,990.9
2018-09-03 21:10,286,95,39,0,883,36.6,991
2018-09-03 21:00,251,99,41,0,901,36.2,991.2
2018-09-03 20:50,351,168,39,0,912,36.4,991.4
2018-09-03 20:40,197,59,37,0,925,36.4,991.6
2018-09-03 20:30,108,41,39,0,934,35.6,991.8
2018-09-03 20:20,211,50,37,0,947,36.1,992
2018-09-03 20:10,95,213,36,0,962,36.2,992.2
2018-09-03 20:00,191,145,41,0,973,35.3,992.4
2018-09-03 19:50,354,188,43,0,971,35.9,992.5
2018-09-03 13:40,42,19,87,0,66,26.1,993.9
