Plot Title: sargento-canal,,,,
#,Fecha,"Abs Pres, kPa","Temp, C","Water Level, meters"
1,8/16/18 11:15,112.032,29.152,0.36
2,8/16/18 11:30,111.99,27.567,0.356
3,8/16/18 11:45,111.928,27.272,0.35
4,8/16/18 12:00,111.899,27.173,0.347
5,8/16/18 12:15,111.87,27.075,0.344
6,8/16/18 12:30,111.844,27.075,0.342
7,8/16/18 12:45,111.802,26.977,0.337
8,8/16/18 13:00,111.802,26.977,0.337
9,8/16/18 13:15,111.789,26.977,0.336
10,8/16/18 13:30,111.789,26.977,0.336
11,8/16/18 13:45,111.773,26.879,0.335
12,8/16/18 14:00,111.773,26.879,0.335
13,8/16/18 14:15,111.747,26.879,0.332
14,8/16/18 14:30,111.798,26.879,0.337
15,8/16/18 14:45,112.342,26.879,0.391
16,8/16/18 15:00,113.61,26.879,0.517
17,8/16/18 15:15,114.981,27.173,0.654
18,8/16/18 15:30,116.061,27.272,0.761
19,8/16/18 15:45,116.93,27.272,0.848
20,8/16/18 16:00,117.511,27.173,0.905
21,8/16/18 16:15,118.005,27.173,0.955
22,8/16/18 16:30,118.456,27.075,0.999
23,8/16/18 16:45,118.884,27.075,1.042
24,8/16/18 17:00,119.222,27.075,1.076
25,8/16/18 17:15,119.521,27.075,1.105
26,8/16/18 17:30,119.755,27.075,1.129
27,8/16/18 17:45,119.973,26.977,1.15
28,8/16/18 18:00,120.142,26.977,1.167
29,8/16/18 18:15,120.077,26.977,1.161
30,8/16/18 18:30,119.826,26.879,1.136
31,8/16/18 18:45,119.462,26.879,1.1
32,8/16/18 19:00,119.046,26.879,1.058
33,8/16/18 19:15,118.578,26.879,1.012
34,8/16/18 19:30,118.111,26.879,0.965
35,8/16/18 19:45,117.565,26.879,0.911
36,8/16/18 20:00,116.903,26.879,0.845
37,8/16/18 20:15,116.125,26.879,0.768
38,8/16/18 20:30,115.347,26.879,0.69
39,8/16/18 20:45,114.582,26.879,0.614
40,8/16/18 21:00,113.999,26.879,0.556
41,8/16/18 21:15,113.52,26.879,0.508
42,8/16/18 21:30,113.144,26.879,0.471
