Plot Title: salinidad,,,,,,
#,Fecha,"Cond Low Rng, S/cm","Cond High Rng, S/cm","Temp, C","Specific Conductance, S/cm","Salinity, ppt"
1,8/16/18 12:45,33686,54525.5,28.54,50942.8,33.431
2,8/16/18 13:00,33686,54525.5,28.43,51048,33.5085
3,8/16/18 13:15,33686,54525.5,28.35,51124.8,33.5651
4,8/16/18 13:30,33686,54525.5,28.31,51163.3,33.5935
5,8/16/18 13:45,33686,54525.5,28.28,51192.2,33.6148
6,8/16/18 14:00,33686,54525.5,28.28,51192.2,33.6148
7,8/16/18 14:15,33686,54525.5,28.28,51192.2,33.6148
8,8/16/18 14:30,33686,54525.5,28.27,51201.8,33.6219
9,8/16/18 14:45,33686,54525.5,28.27,51201.8,33.6219
10,8/16/18 15:00,33686,54525.5,28.27,51201.8,33.6219
11,8/16/18 15:15,33686,54525.5,28.25,51221.1,33.6361
12,8/16/18 15:30,33686,54525.5,28.24,51230.7,33.6432
13,8/16/18 15:45,33686,54525.5,28.28,51192.2,33.6148
14,8/16/18 16:00,33686,54525.5,28.31,51163.3,33.5935
15,8/16/18 16:15,33686,54525.5,28.32,51153.7,33.5864
16,8/16/18 16:30,33686,54525.5,28.32,51153.7,33.5864
17,8/16/18 16:45,33686,54525.5,28.34,51134.4,33.5722
18,8/16/18 17:00,33686,54525.5,28.34,51134.4,33.5722
19,8/16/18 17:15,33686,54525.5,28.35,51124.8,33.5651
20,8/16/18 17:30,33686,54525.5,28.35,51124.8,33.5651
21,8/16/18 17:45,33686,54525.5,28.35,51124.8,33.5651
22,8/16/18 18:00,33686,54525.5,28.37,51105.6,33.551
23,8/16/18 18:15,33686,54525.5,28.37,51105.6,33.551
24,8/16/18 18:30,33686,54525.5,28.37,51105.6,33.551
25,8/16/18 18:45,33686,54525.5,28.37,51105.6,33.551
26,8/16/18 19:00,33686,54525.5,28.38,51096,33.5439
27,8/16/18 19:15,33686,54525.5,28.38,51096,33.5439
28,8/16/18 19:30,33686,54525.5,28.38,51096,33.5439
29,8/16/18 19:45,33686,54525.5,28.37,51105.6,33.551
30,8/16/18 20:00,33686,54525.5,28.31,51163.3,33.5935
31,8/16/18 20:15,33686,54525.5,28.25,51221.1,33.6361
32,8/16/18 20:30,33686,54525.5,28.21,51259.7,33.6646
