"Plot Title: sargento-old"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
1,09/08/2018 11:45:00,111.202,28.853,0.417
2,09/08/2018 12:00:00,112.820,28.357,0.578
3,09/08/2018 12:15:00,114.550,28.159,0.750
4,09/08/2018 12:30:00,116.325,28.258,0.927
5,09/08/2018 12:45:00,117.804,28.159,1.074
6,09/08/2018 13:00:00,118.865,28.060,1.179
7,09/08/2018 13:15:00,119.543,28.060,1.247
8,09/08/2018 13:30:00,119.850,28.060,1.277
9,09/08/2018 13:45:00,119.753,28.060,1.268
10,09/08/2018 14:00:00,119.285,28.060,1.221
11,09/08/2018 14:15:00,118.429,28.060,1.136
12,09/08/2018 14:30:00,117.445,28.060,1.038
13,09/08/2018 14:45:00,116.446,28.060,0.939
14,09/08/2018 15:00:00,115.431,28.060,0.838
15,09/08/2018 15:15:00,114.433,28.060,0.738
16,09/08/2018 15:30:00,113.484,28.060,0.644
17,09/08/2018 15:45:00,112.487,28.060,0.545
18,09/08/2018 16:00:00,111.571,28.060,0.454
19,09/08/2018 16:15:00,110.688,28.060,0.366
20,09/08/2018 16:30:00,109.853,28.060,0.283
21,09/08/2018 16:45:00,109.131,28.060,0.211
22,09/08/2018 17:00:00,108.346,28.060,0.133
23,09/08/2018 17:15:00,107.368,28.060,0.036
24,09/08/2018 17:30:00,106.580,27.961,-0.043
25,09/08/2018 17:45:00,106.228,27.961,-0.078
26,09/08/2018 18:00:00,106.212,27.961,-0.080
27,09/08/2018 18:15:00,106.212,27.961,-0.080
28,09/08/2018 18:30:00,106.244,27.961,-0.076
29,09/08/2018 18:45:00,106.260,27.961,-0.075
30,09/08/2018 19:00:00,106.276,27.961,-0.073
31,09/08/2018 19:15:00,106.292,27.961,-0.072
32,09/08/2018 19:30:00,106.356,27.961,-0.065
33,09/08/2018 19:45:00,106.420,27.961,-0.059
34,09/08/2018 20:00:00,106.372,27.961,-0.064
35,09/08/2018 20:15:00,106.340,27.961,-0.067
36,09/08/2018 20:30:00,106.308,27.961,-0.070
37,09/08/2018 20:45:00,106.324,27.961,-0.068
38,09/08/2018 21:00:00,106.324,27.961,-0.068
39,09/08/2018 21:15:00,106.340,27.961,-0.067
40,09/08/2018 21:30:00,106.356,27.961,-0.065
41,09/08/2018 21:45:00,106.372,27.961,-0.064
42,09/08/2018 22:00:00,106.372,27.961,-0.064
43,09/08/2018 22:15:00,106.356,27.961,-0.065
44,09/08/2018 22:30:00,106.388,27.961,-0.062
45,09/08/2018 22:45:00,106.404,27.961,-0.060
46,09/08/2018 23:00:00,106.420,27.961,-0.059
47,09/08/2018 23:15:00,106.884,27.961,-0.013
48,09/08/2018 23:30:00,108.390,27.961,0.137
49,09/08/2018 23:45:00,109.240,27.961,0.222
50,09/09/2018 00:00:00,110.106,27.961,0.308
51,09/09/2018 00:15:00,111.085,27.961,0.405
52,09/09/2018 00:30:00,112.274,27.961,0.524
53,09/09/2018 00:45:00,113.335,27.961,0.629
54,09/09/2018 01:00:00,114.348,27.961,0.730
55,09/09/2018 01:15:00,115.008,27.961,0.796
56,09/09/2018 01:30:00,115.250,27.961,0.820
57,09/09/2018 01:45:00,115.153,27.961,0.810
58,09/09/2018 02:00:00,114.718,27.961,0.767
59,09/09/2018 02:15:00,114.059,27.961,0.701
60,09/09/2018 02:30:00,113.351,27.961,0.631
61,09/09/2018 02:45:00,112.595,27.961,0.556
62,09/09/2018 03:00:00,111.760,27.961,0.472
63,09/09/2018 03:15:00,110.989,27.961,0.396
64,09/09/2018 03:30:00,110.218,27.961,0.319
65,09/09/2018 03:45:00,109.496,27.961,0.247
66,09/09/2018 04:00:00,108.807,27.961,0.179
67,09/09/2018 04:15:00,107.813,27.961,0.080
68,09/09/2018 04:30:00,106.964,27.961,-0.005
69,09/09/2018 04:45:00,106.468,27.961,-0.054
70,09/09/2018 05:00:00,106.452,27.961,-0.056
71,09/09/2018 05:15:00,106.468,27.961,-0.054
72,09/09/2018 05:30:00,106.468,27.961,-0.054
73,09/09/2018 05:45:00,106.468,27.961,-0.054
74,09/09/2018 06:00:00,106.468,27.961,-0.054
75,09/09/2018 06:15:00,106.484,27.961,-0.052
76,09/09/2018 06:30:00,106.500,27.961,-0.051
77,09/09/2018 06:45:00,106.500,27.961,-0.051
78,09/09/2018 07:00:00,106.516,27.961,-0.049
79,09/09/2018 07:15:00,106.532,27.961,-0.048
80,09/09/2018 07:30:00,106.548,27.961,-0.046
81,09/09/2018 07:45:00,106.548,27.961,-0.046
82,09/09/2018 08:00:00,106.548,27.961,-0.046
83,09/09/2018 08:15:00,106.564,27.961,-0.044
84,09/09/2018 08:30:00,106.564,27.961,-0.044
85,09/09/2018 08:45:00,106.580,27.961,-0.043
86,09/09/2018 09:00:00,106.580,27.961,-0.043
87,09/09/2018 09:15:00,106.580,27.961,-0.043
88,09/09/2018 09:30:00,106.580,27.961,-0.043
89,09/09/2018 09:45:00,106.580,27.961,-0.043
90,09/09/2018 10:00:00,106.580,27.961,-0.043
91,09/09/2018 10:15:00,106.548,27.961,-0.046
92,09/09/2018 10:30:00,106.548,27.961,-0.046
93,09/09/2018 10:45:00,106.532,27.961,-0.048
94,09/09/2018 11:00:00,106.500,27.961,-0.051
95,09/09/2018 11:15:00,106.500,27.961,-0.051
96,09/09/2018 11:30:00,106.484,27.961,-0.052
97,09/09/2018 11:45:00,106.852,27.961,-0.016
98,09/09/2018 12:00:00,109.015,27.961,0.199
