2018 11 13  01 00 00	0.304
2018 11 13  02 00 00	0.191
2018 11 13  03 00 00	0.171
2018 11 13  04 00 00	0.238
2018 11 13  05 00 00	0.372
2018 11 13  06 00 00	0.54
2018 11 13  07 00 00	0.707
2018 11 13  08 00 00	0.845
2018 11 13  09 00 00	0.936
2018 11 13  10 00 00	0.977
2018 11 13  11 00 00	0.979
2018 11 13  12 00 00	0.964
2018 11 13  13 00 00	0.952
2018 11 13  14 00 00	0.964
2018 11 13  15 00 00	1.007
2018 11 13  16 00 00	1.078
2018 11 13  17 00 00	1.165
2018 11 13  18 00 00	1.244
2018 11 13  19 00 00	1.292
2018 11 13  20 00 00	1.29
2018 11 13  21 00 00	1.225
2018 11 13  22 00 00	1.099
2018 11 13  23 00 00	0.922
2018 11 14  00 00 00	0.72
2018 11 14  01 00 00	0.522
2018 11 14  02 00 00	0.359
2018 11 14  03 00 00	0.256
2018 11 14  04 00 00	0.229
2018 11 14  05 00 00	0.277
2018 11 14  06 00 00	0.389
2018 11 14  07 00 00	0.54
2018 11 14  08 00 00	0.702
2018 11 14  09 00 00	0.849
2018 11 14  10 00 00	0.959
2018 11 14  11 00 00	1.025
2018 11 14  12 00 00	1.048
2018 11 14  13 00 00	1.04
2018 11 14  14 00 00	1.02
2018 11 14  15 00 00	1.003
2018 11 14  16 00 00	1.005
2018 11 14  17 00 00	1.029
2018 11 14  18 00 00	1.071
2018 11 14  19 00 00	1.12
2018 11 14  20 00 00	1.158
2018 11 14  21 00 00	1.166
2018 11 14  22 00 00	1.13
2018 11 14  23 00 00	1.042
2018 11 15  00 00 00	0.906
2018 11 15  01 00 00	0.736
2018 11 15  02 00 00	0.558
2018 11 15  03 00 00	0.401
2018 11 15  04 00 00	0.293
2018 11 15  05 00 00	0.254
2018 11 15  06 00 00	0.293
2018 11 15  07 00 00	0.402
2018 11 15  08 00 00	0.561
2018 11 15  09 00 00	0.741
2018 11 15  10 00 00	0.909
2018 11 15  11 00 00	1.039
2018 11 15  12 00 00	1.114
2018 11 15  13 00 00	1.131
2018 11 15  14 00 00	1.1
2018 11 15  15 00 00	1.041
2018 11 15  16 00 00	0.976
2018 11 15  17 00 00	0.93
2018 11 15  18 00 00	0.915
2018 11 15  19 00 00	0.937
2018 11 15  20 00 00	0.986
2018 11 15  21 00 00	1.044
2018 11 15  22 00 00	1.085
2018 11 15  23 00 00	1.088
2018 11 16  00 00 00	1.034
2018 11 16  01 00 00	0.922
2018 11 16  02 00 00	0.762
2018 11 16  03 00 00	0.582
2018 11 16  04 00 00	0.415
2018 11 16  05 00 00	0.297
2018 11 16  06 00 00	0.257
2018 11 16  07 00 00	0.306
2018 11 16  08 00 00	0.437
2018 11 16  09 00 00	0.627
2018 11 16  10 00 00	0.837
2018 11 16  11 00 00	1.027
2018 11 16  12 00 00	1.162
2018 11 16  13 00 00	1.221
2018 11 16  14 00 00	1.2
2018 11 16  15 00 00	1.115
2018 11 16  16 00 00	0.995
2018 11 16  17 00 00	0.877
