Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low						
01/01/2018	Mon	01:24	AM	1.32	40	L		0.0583333333333333AM			
01/01/2018	Mon	07:33	AM	6.89	210	H					
01/01/2018	Mon	02:47	PM	-1.67	-51	L					
01/01/2018	Mon	09:04	PM	4.16	127	H					
02/01/2018	Tue	02:12	AM	1.34	41	L					
02/01/2018	Tue	08:18	AM	6.93	211	H					
02/01/2018	Tue	03:33	PM	-1.74	-53	L					
02/01/2018	Tue	09:52	PM	4.22	129	H					
03/01/2018	Wed	03:01	AM	1.4	43	L					
03/01/2018	Wed	09:05	AM	6.73	205	H					
03/01/2018	Wed	04:19	PM	-1.58	-48	L					
03/01/2018	Wed	10:41	PM	4.23	129	H					
04/01/2018	Thu	03:53	AM	1.52	46	L					
04/01/2018	Thu	09:53	AM	6.3	192	H					
04/01/2018	Thu	05:06	PM	-1.23	-37	L					
04/01/2018	Thu	11:32	PM	4.22	129	H					
05/01/2018	Fri	04:50	AM	1.68	51	L					
05/01/2018	Fri	10:44	AM	5.67	173	H					
05/01/2018	Fri	05:54	PM	-0.74	-23	L					
06/01/2018	Sat	12:27	AM	4.24	129	H					
06/01/2018	Sat	05:56	AM	1.85	56	L					
06/01/2018	Sat	11:40	AM	4.91	150	H					
06/01/2018	Sat	06:44	PM	-0.18	-5	L					
07/01/2018	Sun	01:26	AM	4.29	131	H					
07/01/2018	Sun	07:16	AM	1.92	59	L					
07/01/2018	Sun	12:46	PM	4.13	126	H					
07/01/2018	Sun	07:38	PM	0.39	12	L					
08/01/2018	Mon	02:28	AM	4.42	135	H					
08/01/2018	Mon	08:49	AM	1.77	54	L					
08/01/2018	Mon	02:08	PM	3.48	106	H					
08/01/2018	Mon	08:35	PM	0.9	27	L					
09/01/2018	Tue	03:28	AM	4.62	141	H					
09/01/2018	Tue	10:23	AM	1.38	42	L					
09/01/2018	Tue	03:46	PM	3.11	95	H					
09/01/2018	Tue	09:35	PM	1.3	40	L					
10/01/2018	Wed	04:21	AM	4.84	148	H					
10/01/2018	Wed	11:34	AM	0.87	27	L					
10/01/2018	Wed	05:19	PM	3.07	94	H					
10/01/2018	Wed	10:32	PM	1.58	48	L					
11/01/2018	Thu	05:06	AM	5.06	154	H					
11/01/2018	Thu	12:25	PM	0.39	12	L					
11/01/2018	Thu	06:27	PM	3.19	97	H					
11/01/2018	Thu	11:23	PM	1.74	53	L					
12/01/2018	Fri	05:45	AM	5.26	160	H					
12/01/2018	Fri	01:05	PM	0.01	0	L					
12/01/2018	Fri	07:15	PM	3.33	101	H					
13/01/2018	Sat	12:06	AM	1.81	55	L					
13/01/2018	Sat	06:21	AM	5.44	166	H					
13/01/2018	Sat	01:38	PM	-0.29	-9	L					
13/01/2018	Sat	07:52	PM	3.46	105	H					
14/01/2018	Sun	12:44	AM	1.81	55	L					
14/01/2018	Sun	06:53	AM	5.58	170	H					
14/01/2018	Sun	02:09	PM	-0.49	-15	L					
14/01/2018	Sun	08:23	PM	3.57	109	H					
15/01/2018	Mon	01:19	AM	1.78	54	L					
15/01/2018	Mon	07:25	AM	5.68	173	H					
15/01/2018	Mon	02:38	PM	-0.63	-19	L					
15/01/2018	Mon	08:52	PM	3.66	112	H					
16/01/2018	Tue	01:52	AM	1.73	53	L					
16/01/2018	Tue	07:56	AM	5.73	175	H					
16/01/2018	Tue	03:08	PM	-0.69	-21	L					
16/01/2018	Tue	09:21	PM	3.73	114	H					
17/01/2018	Wed	02:24	AM	1.7	52	L					
17/01/2018	Wed	08:27	AM	5.7	174	H					
17/01/2018	Wed	03:37	PM	-0.68	-21	L					
17/01/2018	Wed	09:52	PM	3.77	115	H					
18/01/2018	Thu	02:57	AM	1.7	52	L					
18/01/2018	Thu	08:58	AM	5.59	170	H					
18/01/2018	Thu	04:08	PM	-0.59	-18	L					
18/01/2018	Thu	10:24	PM	3.79	116	H					
19/01/2018	Fri	03:31	AM	1.74	53	L					
19/01/2018	Fri	09:29	AM	5.37	164	H					
19/01/2018	Fri	04:39	PM	-0.41	-12	L					
19/01/2018	Fri	10:58	PM	3.81	116	H					
20/01/2018	Sat	04:08	AM	1.81	55	L					
20/01/2018	Sat	10:02	AM	5.05	154	H					
20/01/2018	Sat	05:11	PM	-0.16	-5	L					
20/01/2018	Sat	11:35	PM	3.84	117	H					
21/01/2018	Sun	04:53	AM	1.89	58	L					
21/01/2018	Sun	10:38	AM	4.61	141	H					
21/01/2018	Sun	05:45	PM	0.16	5	L					
22/01/2018	Mon	12:16	AM	3.91	119	H					
22/01/2018	Mon	05:50	AM	1.95	59	L					
22/01/2018	Mon	11:22	AM	4.07	124	H					
22/01/2018	Mon	06:22	PM	0.54	16	L					
23/01/2018	Tue	01:03	AM	4.04	123	H					
23/01/2018	Tue	07:08	AM	1.92	59	L					
23/01/2018	Tue	12:26	PM	3.47	106	H					
23/01/2018	Tue	07:07	PM	0.95	29	L					
24/01/2018	Wed	01:58	AM	4.25	130	H					
24/01/2018	Wed	08:45	AM	1.65	50	L					
24/01/2018	Wed	02:07	PM	2.97	91	H					
24/01/2018	Wed	08:05	PM	1.33	41	L					
25/01/2018	Thu	02:59	AM	4.58	140	H					
25/01/2018	Thu	10:16	AM	1.08	33	L					
25/01/2018	Thu	04:02	PM	2.83	86	H					
25/01/2018	Thu	09:17	PM	1.61	49	L					
26/01/2018	Fri	03:59	AM	5.01	153	H					
26/01/2018	Fri	11:26	AM	0.35	11	L					
26/01/2018	Fri	05:32	PM	3.05	93	H					
26/01/2018	Fri	10:29	PM	1.7	52	L					
27/01/2018	Sat	04:56	AM	5.51	168	H					
27/01/2018	Sat	12:21	PM	-0.39	-12	L					
27/01/2018	Sat	06:36	PM	3.4	104	H					
27/01/2018	Sat	11:33	PM	1.63	50	L					
28/01/2018	Sun	05:48	AM	6.01	183	H					
28/01/2018	Sun	01:08	PM	-1.02	-31	L					
28/01/2018	Sun	07:25	PM	3.75	114	H					
29/01/2018	Mon	12:29	AM	1.45	44	L					
29/01/2018	Mon	06:38	AM	6.43	196	H					
29/01/2018	Mon	01:52	PM	-1.47	-45	L					
29/01/2018	Mon	08:09	PM	4.06	124	H					
30/01/2018	Tue	01:20	AM	1.23	37	L					
30/01/2018	Tue	07:25	AM	6.68	204	H					
30/01/2018	Tue	02:35	PM	-1.71	-52	L					
30/01/2018	Tue	08:50	PM	4.3	131	H					
31/01/2018	Wed	02:08	AM	1.03	31	L					
31/01/2018	Wed	08:11	AM	6.72	205	H					
31/01/2018	Wed	03:16	PM	-1.71	-52	L					
31/01/2018	Wed	09:30	PM	4.46	136	H					
01/02/2018	Thu	02:56	AM	0.91	28	L					
01/02/2018	Thu	08:57	AM	6.51	198	H					
01/02/2018	Thu	03:57	PM	-1.48	-45	L					
01/02/2018	Thu	10:11	PM	4.55	139	H					
02/02/2018	Fri	03:45	AM	0.9	27	L					
02/02/2018	Fri	09:42	AM	6.05	184	H					
02/02/2018	Fri	04:37	PM	-1.07	-33	L					
02/02/2018	Fri	10:53	PM	4.56	139	H					
03/02/2018	Sat	04:36	AM	0.99	30	L					
03/02/2018	Sat	10:29	AM	5.4	165	H					
03/02/2018	Sat	05:17	PM	-0.52	-16	L					
03/02/2018	Sat	11:37	PM	4.52	138	H					
04/02/2018	Sun	05:32	AM	1.16	35	L					
04/02/2018	Sun	11:18	AM	4.62	141	H					
04/02/2018	Sun	05:57	PM	0.11	3	L					
05/02/2018	Mon	12:24	AM	4.44	135	H					
05/02/2018	Mon	06:37	AM	1.33	41	L					
05/02/2018	Mon	12:15	PM	3.81	116	H					
05/02/2018	Mon	06:40	PM	0.76	23	L					
06/02/2018	Tue	01:17	AM	4.36	133	H					
06/02/2018	Tue	07:58	AM	1.41	43	L					
06/02/2018	Tue	01:30	PM	3.1	94	H					
06/02/2018	Tue	07:29	PM	1.35	41	L					
07/02/2018	Wed	02:18	AM	4.31	131	H					
07/02/2018	Wed	09:38	AM	1.25	38	L					
07/02/2018	Wed	03:21	PM	2.71	83	H					
07/02/2018	Wed	08:33	PM	1.82	55	L					
08/02/2018	Thu	03:24	AM	4.36	133	H					
08/02/2018	Thu	11:08	AM	0.87	27	L					
08/02/2018	Thu	05:28	PM	2.78	85	H					
08/02/2018	Thu	09:51	PM	2.08	63	L					
09/02/2018	Fri	04:26	AM	4.51	137	H					
09/02/2018	Fri	12:06	PM	0.45	14	L					
09/02/2018	Fri	06:36	PM	3.04	93	H					
09/02/2018	Fri	11:02	PM	2.12	65	L					
10/02/2018	Sat	05:18	AM	4.73	144	H					
10/02/2018	Sat	12:47	PM	0.08	2	L					
10/02/2018	Sat	07:13	PM	3.28	100	H					
10/02/2018	Sat	11:55	PM	2.02	62	L					
11/02/2018	Sun	06:00	AM	4.98	152	H					
11/02/2018	Sun	01:19	PM	-0.21	-6	L					
11/02/2018	Sun	07:40	PM	3.48	106	H					
12/02/2018	Mon	12:35	AM	1.84	56	L					
12/02/2018	Mon	06:37	AM	5.21	159	H					
12/02/2018	Mon	01:48	PM	-0.44	-13	L					
12/02/2018	Mon	08:03	PM	3.66	112	H					
13/02/2018	Tue	01:10	AM	1.63	50	L					
13/02/2018	Tue	07:11	AM	5.41	165	H					
13/02/2018	Tue	02:15	PM	-0.6	-18	L					
13/02/2018	Tue	08:27	PM	3.83	117	H					
14/02/2018	Wed	01:43	AM	1.43	44	L					
14/02/2018	Wed	07:43	AM	5.55	169	H					
14/02/2018	Wed	02:43	PM	-0.69	-21	L					
14/02/2018	Wed	08:51	PM	3.98	121	H					
15/02/2018	Thu	02:15	AM	1.26	38	L					
15/02/2018	Thu	08:14	AM	5.58	170	H					
15/02/2018	Thu	03:10	PM	-0.69	-21	L					
15/02/2018	Thu	09:17	PM	4.11	125	H					
16/02/2018	Fri	02:48	AM	1.14	35	L					
16/02/2018	Fri	08:46	AM	5.5	168	H					
16/02/2018	Fri	03:37	PM	-0.59	-18	L					
16/02/2018	Fri	09:45	PM	4.21	128	H					
17/02/2018	Sat	03:22	AM	1.06	32	L					
17/02/2018	Sat	09:18	AM	5.29	161	H					
17/02/2018	Sat	04:05	PM	-0.4	-12	L					
17/02/2018	Sat	10:14	PM	4.3	131	H					
18/02/2018	Sun	03:59	AM	1.04	32	L					
18/02/2018	Sun	09:52	AM	4.94	151	H					
18/02/2018	Sun	04:33	PM	-0.09	-3	L					
18/02/2018	Sun	10:45	PM	4.36	133	H					
19/02/2018	Mon	04:41	AM	1.06	32	L					
19/02/2018	Mon	10:29	AM	4.45	136	H					
19/02/2018	Mon	05:03	PM	0.3	9	L					
19/02/2018	Mon	11:20	PM	4.4	134	H					
20/02/2018	Tue	05:32	AM	1.12	34	L					
20/02/2018	Tue	11:15	AM	3.86	118	H					
20/02/2018	Tue	05:34	PM	0.76	23	L					
21/02/2018	Wed	12:01	AM	4.43	135	H					
