NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Ensenada, Todos Santos Bay 
State:  
Stationid: TWC0403
ReferencedToStationName: San Diego, San Diego Bay
ReferencedToStationId: 9410170
HeightOffsetLow: * 0.89
HeightOffsetHigh: * 0.92
TimeOffsetLow: -11
TimeOffsetHigh: -19
Prediction Type: Subordinate
From: 20180101 01:24 - 20181231 23:01
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/01/01	Mon	01:24 AM	1.32		40			L
2018/01/01	Mon	07:33 AM	6.89		210			H
2018/01/01	Mon	02:47 PM	-1.67		-51			L
2018/01/01	Mon	09:04 PM	4.16		127			H
2018/01/02	Tue	02:12 AM	1.34		41			L
2018/01/02	Tue	08:18 AM	6.93		211			H
2018/01/02	Tue	03:33 PM	-1.74		-53			L
2018/01/02	Tue	09:52 PM	4.22		129			H
2018/01/03	Wed	03:01 AM	1.40		43			L
2018/01/03	Wed	09:05 AM	6.73		205			H
2018/01/03	Wed	04:19 PM	-1.58		-48			L
2018/01/03	Wed	10:41 PM	4.23		129			H
2018/01/04	Thu	03:53 AM	1.52		46			L
2018/01/04	Thu	09:53 AM	6.30		192			H
2018/01/04	Thu	05:06 PM	-1.23		-37			L
2018/01/04	Thu	11:32 PM	4.22		129			H
2018/01/05	Fri	04:50 AM	1.68		51			L
2018/01/05	Fri	10:44 AM	5.67		173			H
2018/01/05	Fri	05:54 PM	-0.74		-23			L
2018/01/06	Sat	12:27 AM	4.24		129			H
2018/01/06	Sat	05:56 AM	1.85		56			L
2018/01/06	Sat	11:40 AM	4.91		150			H
2018/01/06	Sat	06:44 PM	-0.18		-5			L
2018/01/07	Sun	01:26 AM	4.29		131			H
2018/01/07	Sun	07:16 AM	1.92		59			L
2018/01/07	Sun	12:46 PM	4.13		126			H
2018/01/07	Sun	07:38 PM	0.39		12			L
2018/01/08	Mon	02:28 AM	4.42		135			H
2018/01/08	Mon	08:49 AM	1.77		54			L
2018/01/08	Mon	02:08 PM	3.48		106			H
2018/01/08	Mon	08:35 PM	0.90		27			L
2018/01/09	Tue	03:28 AM	4.62		141			H
2018/01/09	Tue	10:23 AM	1.38		42			L
2018/01/09	Tue	03:46 PM	3.11		95			H
2018/01/09	Tue	09:35 PM	1.30		40			L
2018/01/10	Wed	04:21 AM	4.84		148			H
2018/01/10	Wed	11:34 AM	0.87		27			L
2018/01/10	Wed	05:19 PM	3.07		94			H
2018/01/10	Wed	10:32 PM	1.58		48			L
2018/01/11	Thu	05:06 AM	5.06		154			H
2018/01/11	Thu	12:25 PM	0.39		12			L
2018/01/11	Thu	06:27 PM	3.19		97			H
2018/01/11	Thu	11:23 PM	1.74		53			L
2018/01/12	Fri	05:45 AM	5.26		160			H
2018/01/12	Fri	01:05 PM	0.01		0			L
2018/01/12	Fri	07:15 PM	3.33		101			H
2018/01/13	Sat	12:06 AM	1.81		55			L
2018/01/13	Sat	06:21 AM	5.44		166			H
2018/01/13	Sat	01:38 PM	-0.29		-9			L
2018/01/13	Sat	07:52 PM	3.46		105			H
2018/01/14	Sun	12:44 AM	1.81		55			L
2018/01/14	Sun	06:53 AM	5.58		170			H
2018/01/14	Sun	02:09 PM	-0.49		-15			L
2018/01/14	Sun	08:23 PM	3.57		109			H
2018/01/15	Mon	01:19 AM	1.78		54			L
2018/01/15	Mon	07:25 AM	5.68		173			H
2018/01/15	Mon	02:38 PM	-0.63		-19			L
2018/01/15	Mon	08:52 PM	3.66		112			H
2018/01/16	Tue	01:52 AM	1.73		53			L
2018/01/16	Tue	07:56 AM	5.73		175			H
2018/01/16	Tue	03:08 PM	-0.69		-21			L
2018/01/16	Tue	09:21 PM	3.73		114			H
2018/01/17	Wed	02:24 AM	1.70		52			L
2018/01/17	Wed	08:27 AM	5.70		174			H
2018/01/17	Wed	03:37 PM	-0.68		-21			L
2018/01/17	Wed	09:52 PM	3.77		115			H
2018/01/18	Thu	02:57 AM	1.70		52			L
2018/01/18	Thu	08:58 AM	5.59		170			H
2018/01/18	Thu	04:08 PM	-0.59		-18			L
2018/01/18	Thu	10:24 PM	3.79		116			H
2018/01/19	Fri	03:31 AM	1.74		53			L
2018/01/19	Fri	09:29 AM	5.37		164			H
2018/01/19	Fri	04:39 PM	-0.41		-12			L
2018/01/19	Fri	10:58 PM	3.81		116			H
2018/01/20	Sat	04:08 AM	1.81		55			L
2018/01/20	Sat	10:02 AM	5.05		154			H
2018/01/20	Sat	05:11 PM	-0.16		-5			L
2018/01/20	Sat	11:35 PM	3.84		117			H
2018/01/21	Sun	04:53 AM	1.89		58			L
2018/01/21	Sun	10:38 AM	4.61		141			H
2018/01/21	Sun	05:45 PM	0.16		5			L
2018/01/22	Mon	12:16 AM	3.91		119			H
2018/01/22	Mon	05:50 AM	1.95		59			L
2018/01/22	Mon	11:22 AM	4.07		124			H
2018/01/22	Mon	06:22 PM	0.54		16			L
2018/01/23	Tue	01:03 AM	4.04		123			H
2018/01/23	Tue	07:08 AM	1.92		59			L
2018/01/23	Tue	12:26 PM	3.47		106			H
2018/01/23	Tue	07:07 PM	0.95		29			L
2018/01/24	Wed	01:58 AM	4.25		130			H
2018/01/24	Wed	08:45 AM	1.65		50			L
2018/01/24	Wed	02:07 PM	2.97		91			H
2018/01/24	Wed	08:05 PM	1.33		41			L
2018/01/25	Thu	02:59 AM	4.58		140			H
2018/01/25	Thu	10:16 AM	1.08		33			L
2018/01/25	Thu	04:02 PM	2.83		86			H
2018/01/25	Thu	09:17 PM	1.61		49			L
2018/01/26	Fri	03:59 AM	5.01		153			H
2018/01/26	Fri	11:26 AM	0.35		11			L
2018/01/26	Fri	05:32 PM	3.05		93			H
2018/01/26	Fri	10:29 PM	1.70		52			L
2018/01/27	Sat	04:56 AM	5.51		168			H
2018/01/27	Sat	12:21 PM	-0.39		-12			L
2018/01/27	Sat	06:36 PM	3.40		104			H
2018/01/27	Sat	11:33 PM	1.63		50			L
2018/01/28	Sun	05:48 AM	6.01		183			H
2018/01/28	Sun	01:08 PM	-1.02		-31			L
2018/01/28	Sun	07:25 PM	3.75		114			H
2018/01/29	Mon	12:29 AM	1.45		44			L
