"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	4	20	1	0	0	0.484	
2018	4	20	2	0	0	0.605	
2018	4	20	3	0	0	0.822	
2018	4	20	4	0	0	1.088	
2018	4	20	5	0	0	1.344	
2018	4	20	6	0	0	1.523	
2018	4	20	7	0	0	1.577	
2018	4	20	8	0	0	1.483	
2018	4	20	9	0	0	1.251	
2018	4	20	10	0	0	0.92	
2018	4	20	11	0	0	0.555	
2018	4	20	12	0	0	0.222	
2018	4	20	13	0	0	-0.019	
2018	4	20	14	0	0	-0.129	
2018	4	20	15	0	0	-0.102	
2018	4	20	16	0	0	0.041	
2018	4	20	17	0	0	0.256	
2018	4	20	18	0	0	0.489	
2018	4	20	19	0	0	0.689	
2018	4	20	20	0	0	0.817	
2018	4	20	21	0	0	0.858	
2018	4	20	22	0	0	0.823	
2018	4	20	23	0	0	0.741	
2018	4	21	0	0	0	0.654	
2018	4	21	1	0	0	0.604	
2018	4	21	2	0	0	0.623	
2018	4	21	3	0	0	0.722	
2018	4	21	4	0	0	0.889	
2018	4	21	5	0	0	1.093	
2018	4	21	6	0	0	1.286	
2018	4	21	7	0	0	1.42	
2018	4	21	8	0	0	1.456	
2018	4	21	9	0	0	1.373	
2018	4	21	10	0	0	1.178	
2018	4	21	11	0	0	0.9	
2018	4	21	12	0	0	0.586	
2018	4	21	13	0	0	0.289	
2018	4	21	14	0	0	0.061	
2018	4	21	15	0	0	-0.065	
2018	4	21	16	0	0	-0.075	
2018	4	21	17	0	0	0.02	
2018	4	21	18	0	0	0.191	
2018	4	21	19	0	0	0.397	
2018	4	21	20	0	0	0.596	
2018	4	21	21	0	0	0.752	
2018	4	21	22	0	0	0.842	
2018	4	21	23	0	0	0.865	
2018	4	22	0	0	0	0.834	
2018	4	22	1	0	0	0.777	
2018	4	22	2	0	0	0.727	
2018	4	22	3	0	0	0.716	
2018	4	22	4	0	0	0.76	
2018	4	22	5	0	0	0.863	
2018	4	22	6	0	0	1.005	
2018	4	22	7	0	0	1.157	
2018	4	22	8	0	0	1.279	
2018	4	22	9	0	0	1.333	
2018	4	22	10	0	0	1.295	
2018	4	22	11	0	0	1.157	
2018	4	22	12	0	0	0.935	
2018	4	22	13	0	0	0.661	
2018	4	22	14	0	0	0.38	
2018	4	22	15	0	0	0.138	
2018	4	22	16	0	0	-0.023	
2018	4	22	17	0	0	-0.079	
2018	4	22	18	0	0	-0.025	
2018	4	22	19	0	0	0.122	
2018	4	22	20	0	0	0.33	
2018	4	22	21	0	0	0.556	
2018	4	22	22	0	0	0.758	
2018	4	22	23	0	0	0.902	
2018	4	23	0	0	0	0.969	
