"Plot Title: sargento-canal"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
1,08/16/2018 11:15:01,112.032,29.152,0.360
2,08/16/2018 11:30:02,111.990,27.567,0.356
3,08/16/2018 11:45:03,111.928,27.272,0.350
4,08/16/2018 12:00:04,111.899,27.173,0.347
5,08/16/2018 12:15:05,111.870,27.075,0.344
6,08/16/2018 12:30:06,111.844,27.075,0.342
7,08/16/2018 12:45:07,111.802,26.977,0.337
8,08/16/2018 13:00:08,111.802,26.977,0.337
9,08/16/2018 13:15:09,111.789,26.977,0.336
10,08/16/2018 13:30:10,111.789,26.977,0.336
11,08/16/2018 13:45:11,111.773,26.879,0.335
12,08/16/2018 14:00:12,111.773,26.879,0.335
13,08/16/2018 14:15:13,111.747,26.879,0.332
14,08/16/2018 14:30:14,111.798,26.879,0.337
15,08/16/2018 14:45:15,112.342,26.879,0.391
16,08/16/2018 15:00:16,113.610,26.879,0.517
17,08/16/2018 15:15:17,114.981,27.173,0.654
18,08/16/2018 15:30:18,116.061,27.272,0.761
19,08/16/2018 15:45:19,116.930,27.272,0.848
20,08/16/2018 16:00:20,117.511,27.173,0.905
21,08/16/2018 16:15:21,118.005,27.173,0.955
22,08/16/2018 16:30:22,118.456,27.075,0.999
23,08/16/2018 16:45:23,118.884,27.075,1.042
24,08/16/2018 17:00:24,119.222,27.075,1.076
25,08/16/2018 17:15:25,119.521,27.075,1.105
26,08/16/2018 17:30:26,119.755,27.075,1.129
27,08/16/2018 17:45:27,119.973,26.977,1.150
28,08/16/2018 18:00:28,120.142,26.977,1.167
29,08/16/2018 18:15:29,120.077,26.977,1.161
30,08/16/2018 18:30:30,119.826,26.879,1.136
31,08/16/2018 18:45:31,119.462,26.879,1.100
32,08/16/2018 19:00:32,119.046,26.879,1.058
33,08/16/2018 19:15:33,118.578,26.879,1.012
34,08/16/2018 19:30:34,118.111,26.879,0.965
35,08/16/2018 19:45:35,117.565,26.879,0.911
36,08/16/2018 20:00:36,116.903,26.879,0.845
37,08/16/2018 20:15:37,116.125,26.879,0.768
38,08/16/2018 20:30:38,115.347,26.879,0.690
39,08/16/2018 20:45:39,114.582,26.879,0.614
40,08/16/2018 21:00:40,113.999,26.879,0.556
41,08/16/2018 21:15:41,113.520,26.879,0.508
42,08/16/2018 21:30:42,113.144,26.879,0.471
43,08/16/2018 21:45:43,112.834,26.879,0.440
44,08/16/2018 22:00:44,112.614,26.879,0.418
45,08/16/2018 22:15:45,112.458,26.879,0.403
46,08/16/2018 22:30:46,112.316,26.879,0.389
47,08/16/2018 22:45:47,112.212,26.879,0.378
48,08/16/2018 23:00:48,112.148,26.879,0.372
49,08/16/2018 23:15:49,112.093,26.781,0.366
50,08/16/2018 23:30:50,112.054,26.781,0.363
51,08/16/2018 23:45:51,111.989,26.781,0.356
52,08/17/2018 00:00:52,111.976,26.781,0.355
53,08/17/2018 00:15:53,111.950,26.781,0.352
54,08/17/2018 00:30:54,111.911,26.781,0.348
55,08/17/2018 00:45:55,111.886,26.781,0.346
56,08/17/2018 01:00:56,111.860,26.781,0.343
57,08/17/2018 01:15:57,111.834,26.781,0.341
58,08/17/2018 01:30:58,111.795,26.781,0.337
59,08/17/2018 01:45:59,111.782,26.781,0.335
60,08/17/2018 02:01:00,111.756,26.781,0.333
61,08/17/2018 02:16:01,111.730,26.781,0.330
62,08/17/2018 02:31:02,111.730,26.781,0.330
63,08/17/2018 02:46:03,111.704,26.781,0.328
64,08/17/2018 03:01:04,111.730,26.781,0.330
65,08/17/2018 03:16:05,111.717,26.781,0.329
66,08/17/2018 03:31:06,111.717,26.781,0.329
67,08/17/2018 03:46:07,111.717,26.781,0.329
68,08/17/2018 04:01:08,111.730,26.781,0.330
69,08/17/2018 04:16:09,111.743,26.781,0.332
70,08/17/2018 04:31:10,112.196,26.781,0.377
71,08/17/2018 04:46:11,113.490,26.781,0.505
72,08/17/2018 05:01:12,114.877,26.781,0.643
73,08/17/2018 05:16:13,115.749,26.879,0.730
74,08/17/2018 05:31:14,116.384,26.879,0.793
75,08/17/2018 05:46:15,116.761,26.879,0.831
76,08/17/2018 06:01:16,117.189,26.879,0.873
77,08/17/2018 06:16:17,117.510,26.781,0.905
78,08/17/2018 06:31:18,117.692,26.781,0.923
79,08/17/2018 06:46:19,117.627,26.781,0.917
80,08/17/2018 07:01:20,117.432,26.781,0.898
81,08/17/2018 07:16:21,117.419,26.781,0.896
82,08/17/2018 07:31:22,117.354,26.781,0.890
83,08/17/2018 07:46:23,117.172,26.781,0.872
84,08/17/2018 08:01:24,116.770,26.781,0.832
85,08/17/2018 08:16:25,116.290,26.781,0.784
86,08/17/2018 08:31:26,115.849,26.781,0.740
87,08/17/2018 08:46:27,115.499,26.781,0.705
88,08/17/2018 09:01:28,115.188,26.781,0.674
89,08/17/2018 09:16:29,114.864,26.781,0.642
90,08/17/2018 09:31:30,114.475,26.781,0.603
91,08/17/2018 09:46:31,114.138,26.781,0.570
92,08/17/2018 10:01:32,113.879,26.781,0.544
93,08/17/2018 10:16:33,113.529,26.781,0.509
94,08/17/2018 10:31:34,113.180,26.781,0.475
95,08/17/2018 10:46:35,112.882,26.781,0.445
96,08/17/2018 11:01:36,112.662,26.781,0.423
97,08/17/2018 11:16:37,112.455,26.781,0.402
98,08/17/2018 11:31:38,112.313,26.781,0.388
99,08/17/2018 11:46:39,112.170,26.781,0.374
100,08/17/2018 12:01:40,112.080,26.781,0.365
101,08/17/2018 12:16:41,111.989,26.781,0.356
102,08/17/2018 12:31:42,111.924,26.781,0.350
103,08/17/2018 12:46:43,111.873,26.781,0.345
104,08/17/2018 13:01:44,111.834,26.781,0.341
105,08/17/2018 13:16:45,111.808,26.781,0.338
106,08/17/2018 13:31:46,111.769,26.781,0.334
107,08/17/2018 13:46:47,111.743,26.781,0.332
108,08/17/2018 14:01:48,111.743,26.781,0.332
109,08/17/2018 14:16:49,111.847,26.781,0.342
110,08/17/2018 14:31:50,112.054,26.781,0.363
111,08/17/2018 14:46:51,112.287,26.781,0.386
112,08/17/2018 15:01:52,112.662,26.781,0.423
113,08/17/2018 15:16:53,113.115,26.781,0.468
114,08/17/2018 15:31:54,113.607,26.781,0.517
115,08/17/2018 15:46:55,114.190,26.781,0.575
116,08/17/2018 16:01:56,114.812,26.781,0.637
117,08/17/2018 16:16:57,115.343,26.781,0.690
118,08/17/2018 16:31:58,115.667,26.781,0.722
119,08/17/2018 16:46:59,116.018,26.781,0.757
120,08/17/2018 17:02:00,116.407,26.781,0.796
121,08/17/2018 17:17:01,116.783,26.781,0.833
122,08/17/2018 17:32:02,117.017,26.781,0.856
123,08/17/2018 17:47:03,117.237,26.781,0.878
124,08/17/2018 18:02:04,117.367,26.781,0.891
125,08/17/2018 18:17:05,117.367,26.781,0.891
126,08/17/2018 18:32:06,117.341,26.781,0.889
127,08/17/2018 18:47:07,117.237,26.781,0.878
128,08/17/2018 19:02:08,116.900,26.781,0.845
129,08/17/2018 19:17:09,116.524,26.781,0.807
130,08/17/2018 19:32:10,116.199,26.781,0.775
131,08/17/2018 19:47:11,115.966,26.781,0.752
132,08/17/2018 20:02:12,115.616,26.781,0.717
133,08/17/2018 20:17:13,115.162,26.781,0.672
134,08/17/2018 20:32:14,114.812,26.781,0.637
135,08/17/2018 20:47:15,114.384,26.781,0.594
136,08/17/2018 21:02:16,113.970,26.781,0.553
137,08/17/2018 21:17:17,113.594,26.781,0.516
138,08/17/2018 21:32:18,113.231,26.781,0.480
139,08/17/2018 21:47:19,112.882,26.781,0.445
140,08/17/2018 22:02:20,112.584,26.781,0.415
141,08/17/2018 22:17:21,112.351,26.781,0.392
142,08/17/2018 22:32:22,112.183,26.781,0.375
143,08/17/2018 22:47:23,112.054,26.781,0.363
144,08/17/2018 23:02:24,111.924,26.781,0.350
145,08/17/2018 23:17:25,111.847,26.781,0.342
146,08/17/2018 23:32:26,111.808,26.781,0.338
147,08/17/2018 23:47:27,111.769,26.781,0.334
148,08/18/2018 00:02:28,111.730,26.781,0.330
149,08/18/2018 00:17:29,111.704,26.781,0.328
150,08/18/2018 00:32:30,111.704,26.781,0.328
151,08/18/2018 00:47:31,111.692,26.781,0.327
152,08/18/2018 01:02:32,111.679,26.781,0.325
153,08/18/2018 01:17:33,111.679,26.781,0.325
154,08/18/2018 01:32:34,111.640,26.781,0.321
155,08/18/2018 01:47:35,111.666,26.781,0.324
156,08/18/2018 02:02:36,111.653,26.781,0.323
157,08/18/2018 02:17:37,111.640,26.781,0.321
158,08/18/2018 02:32:38,111.640,26.781,0.321
159,08/18/2018 02:47:39,111.627,26.781,0.320
160,08/18/2018 03:02:40,111.640,26.781,0.321
161,08/18/2018 03:17:41,111.627,26.781,0.320
162,08/18/2018 03:32:42,111.588,26.781,0.316
163,08/18/2018 03:47:43,111.611,26.683,0.318
164,08/18/2018 04:02:44,111.614,26.781,0.319
165,08/18/2018 04:17:45,111.611,26.683,0.318
166,08/18/2018 04:32:46,111.611,26.683,0.318
167,08/18/2018 04:47:47,111.611,26.683,0.318
168,08/18/2018 05:02:48,111.611,26.683,0.318
169,08/18/2018 05:17:49,111.598,26.683,0.317
170,08/18/2018 05:32:50,111.649,26.683,0.322
171,08/18/2018 05:47:51,112.050,26.683,0.362
172,08/18/2018 06:02:52,113.008,26.683,0.457
173,08/18/2018 06:17:53,113.957,26.781,0.552
174,08/18/2018 06:32:54,114.864,26.781,0.642
175,08/18/2018 06:47:55,115.512,26.781,0.707
176,08/18/2018 07:02:56,115.992,26.781,0.754
177,08/18/2018 07:17:57,116.329,26.781,0.788
178,08/18/2018 07:32:58,116.653,26.781,0.820
179,08/18/2018 07:47:59,116.926,26.781,0.847
180,08/18/2018 08:03:00,117.030,26.781,0.858
181,08/18/2018 08:18:01,117.146,26.781,0.869
182,08/18/2018 08:33:02,117.185,26.781,0.873
183,08/18/2018 08:48:03,117.302,26.781,0.885
184,08/18/2018 09:03:04,117.406,26.781,0.895
185,08/18/2018 09:18:05,117.445,26.781,0.899
186,08/18/2018 09:33:06,117.198,26.781,0.874
187,08/18/2018 09:48:07,117.107,26.781,0.865
188,08/18/2018 10:03:08,117.328,26.781,0.887
189,08/18/2018 10:18:09,117.146,26.781,0.869
190,08/18/2018 10:33:10,116.549,26.781,0.810
191,08/18/2018 10:48:11,116.212,26.781,0.776
192,08/18/2018 11:03:12,115.823,26.781,0.737
193,08/18/2018 11:18:13,115.343,26.781,0.690
194,08/18/2018 11:33:14,114.864,26.781,0.642
195,08/18/2018 11:48:15,114.488,26.781,0.605
196,08/18/2018 12:03:16,114.306,26.781,0.587
197,08/18/2018 12:18:17,114.643,26.781,0.620
198,08/18/2018 12:33:18,114.903,26.781,0.646
199,08/18/2018 12:48:19,114.384,26.781,0.594
200,08/18/2018 13:03:20,113.866,26.781,0.543
201,08/18/2018 13:18:21,113.426,26.781,0.499
202,08/18/2018 13:33:22,112.998,26.781,0.456
203,08/18/2018 13:48:23,112.610,26.781,0.418
204,08/18/2018 14:03:24,112.313,26.781,0.388
205,08/18/2018 14:18:25,112.093,26.781,0.366
206,08/18/2018 14:33:26,111.924,26.781,0.350
207,08/18/2018 14:48:27,111.950,26.781,0.352
208,08/18/2018 15:03:28,112.067,26.781,0.364
209,08/18/2018 15:18:29,112.248,26.781,0.382
210,08/18/2018 15:33:30,112.325,26.781,0.389
211,08/18/2018 15:48:31,112.507,26.781,0.408
212,08/18/2018 16:03:32,112.520,26.781,0.409
213,08/18/2018 16:18:33,112.300,26.781,0.387
214,08/18/2018 16:33:34,112.351,26.781,0.392
215,08/18/2018 16:48:35,112.882,26.781,0.445
216,08/18/2018 17:03:36,113.762,26.781,0.532
217,08/18/2018 17:18:37,113.840,26.781,0.540
218,08/18/2018 17:33:38,113.439,26.781,0.500
219,08/18/2018 17:48:39,113.335,26.781,0.490
220,08/18/2018 18:03:40,113.827,26.781,0.539
221,08/18/2018 18:18:41,114.592,26.781,0.615
222,08/18/2018 18:33:42,114.747,26.781,0.630
223,08/18/2018 18:48:43,114.877,26.781,0.643
224,08/18/2018 19:03:44,115.019,26.781,0.658
225,08/18/2018 19:18:45,115.006,26.781,0.656
226,08/18/2018 19:33:46,114.799,26.781,0.636
227,08/18/2018 19:48:47,114.514,26.781,0.607
228,08/18/2018 20:03:48,114.177,26.781,0.574
229,08/18/2018 20:18:49,113.905,26.781,0.547
230,08/18/2018 20:33:50,113.620,26.781,0.518
231,08/18/2018 20:48:51,113.827,26.781,0.539
232,08/18/2018 21:03:52,114.229,26.781,0.579
233,08/18/2018 21:18:53,113.957,26.781,0.552
234,08/18/2018 21:33:54,113.555,26.781,0.512
235,08/18/2018 21:48:55,113.296,26.781,0.486
236,08/18/2018 22:03:56,113.050,26.781,0.462
237,08/18/2018 22:18:57,112.753,26.781,0.432
238,08/18/2018 22:33:58,112.468,26.781,0.404
239,08/18/2018 22:48:59,112.235,26.781,0.381
240,08/18/2018 23:04:00,112.015,26.781,0.359
241,08/18/2018 23:19:01,111.886,26.781,0.346
242,08/18/2018 23:34:02,111.769,26.781,0.334
243,08/18/2018 23:49:03,111.666,26.781,0.324
244,08/19/2018 00:04:04,111.601,26.781,0.317
245,08/19/2018 00:19:05,111.536,26.781,0.311
246,08/19/2018 00:34:06,111.510,26.781,0.308
247,08/19/2018 00:49:07,111.485,26.781,0.306
248,08/19/2018 01:04:08,111.446,26.781,0.302
249,08/19/2018 01:19:09,111.420,26.781,0.299
250,08/19/2018 01:34:10,111.394,26.781,0.297
251,08/19/2018 01:49:11,111.394,26.781,0.297
252,08/19/2018 02:04:12,111.368,26.781,0.294
253,08/19/2018 02:19:13,111.342,26.781,0.292
254,08/19/2018 02:34:14,111.329,26.781,0.290
255,08/19/2018 02:49:15,111.317,26.781,0.289
256,08/19/2018 03:04:16,111.291,26.781,0.287
257,08/19/2018 03:19:17,111.291,26.781,0.287
258,08/19/2018 03:34:18,111.291,26.781,0.287
259,08/19/2018 03:49:19,111.291,26.781,0.287
260,08/19/2018 04:04:20,111.291,26.781,0.287
261,08/19/2018 04:19:21,111.304,26.781,0.288
262,08/19/2018 04:34:22,111.304,26.781,0.288
263,08/19/2018 04:49:23,111.317,26.781,0.289
264,08/19/2018 05:04:24,111.304,26.781,0.288
265,08/19/2018 05:19:25,111.300,26.683,0.288
266,08/19/2018 05:34:26,111.326,26.683,0.290
267,08/19/2018 05:49:27,111.326,26.683,0.290
268,08/19/2018 06:04:28,111.339,26.683,0.291
269,08/19/2018 06:19:29,111.378,26.683,0.295
270,08/19/2018 06:34:30,111.365,26.683,0.294
271,08/19/2018 06:49:31,111.378,26.683,0.295
272,08/19/2018 07:04:32,111.533,26.683,0.311
273,08/19/2018 07:19:33,112.309,26.683,0.388
274,08/19/2018 07:34:34,113.448,26.683,0.501
275,08/19/2018 07:49:35,114.436,26.781,0.600
276,08/19/2018 08:04:36,115.097,26.781,0.665
277,08/19/2018 08:19:37,115.473,26.781,0.703
278,08/19/2018 08:34:38,115.927,26.781,0.748
279,08/19/2018 08:49:39,116.420,26.781,0.797
280,08/19/2018 09:04:40,116.861,26.781,0.841
281,08/19/2018 09:19:41,117.237,26.781,0.878
282,08/19/2018 09:34:42,117.636,26.683,0.918
283,08/19/2018 09:49:43,117.974,26.683,0.951
284,08/19/2018 10:04:44,118.195,26.683,0.973
285,08/19/2018 10:19:45,118.285,26.683,0.982
286,08/19/2018 10:34:46,118.272,26.683,0.981
287,08/19/2018 10:49:47,118.130,26.683,0.967
288,08/19/2018 11:04:48,117.961,26.683,0.950
289,08/19/2018 11:19:49,117.821,26.781,0.936
290,08/19/2018 11:34:50,117.731,26.781,0.927
291,08/19/2018 11:49:51,117.649,26.683,0.919
292,08/19/2018 12:04:52,117.377,26.683,0.892
293,08/19/2018 12:19:53,117.013,26.683,0.856
294,08/19/2018 12:34:54,116.536,26.781,0.808
295,08/19/2018 12:49:55,116.118,26.683,0.767
296,08/19/2018 13:04:56,115.833,26.683,0.738
297,08/19/2018 13:19:57,115.525,26.781,0.708
298,08/19/2018 13:34:58,115.249,26.683,0.680
