"Plot Title: sargento-canal"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
1,09/08/2018 11:15:00,116.031,28.258,0.505
2,09/08/2018 11:30:01,117.781,27.468,0.679
3,09/08/2018 11:45:02,118.999,27.370,0.800
4,09/08/2018 12:00:03,120.469,27.370,0.946
5,09/08/2018 12:15:04,122.265,27.370,1.125
6,09/08/2018 12:30:05,124.142,27.370,1.312
7,09/08/2018 12:45:06,128.736,26.977,1.769
8,09/08/2018 13:00:07,129.688,26.585,1.863
9,09/08/2018 13:15:08,130.303,26.585,1.925
10,09/08/2018 13:30:09,130.565,26.585,1.951
11,09/08/2018 13:45:10,130.447,26.585,1.939
12,09/08/2018 14:00:11,129.950,26.585,1.889
13,09/08/2018 14:15:12,129.086,26.585,1.803
14,09/08/2018 14:30:13,128.106,26.585,1.706
15,09/08/2018 14:45:14,127.466,26.585,1.642
16,09/08/2018 15:00:15,126.551,26.585,1.551
17,09/08/2018 15:15:16,125.559,26.585,1.453
18,09/08/2018 15:30:17,124.633,26.585,1.360
19,09/08/2018 15:45:18,123.720,26.585,1.270
20,09/08/2018 16:00:19,122.821,26.585,1.180
21,09/08/2018 16:15:20,121.975,26.585,1.096
22,09/08/2018 16:30:21,121.194,26.585,1.018
23,09/08/2018 16:45:22,120.439,26.585,0.943
24,09/08/2018 17:00:23,119.724,26.585,0.872
25,09/08/2018 17:15:24,118.970,26.585,0.797
26,09/08/2018 17:30:25,118.243,26.585,0.725
27,09/08/2018 17:45:26,117.412,26.585,0.642
28,09/08/2018 18:00:27,116.672,26.585,0.568
29,09/08/2018 18:15:28,116.024,26.585,0.504
30,09/08/2018 18:30:29,115.518,26.585,0.454
31,09/08/2018 18:45:30,115.012,26.585,0.403
32,09/08/2018 19:00:31,114.675,26.585,0.370
33,09/08/2018 19:15:32,114.390,26.585,0.341
34,09/08/2018 19:30:33,114.222,26.585,0.325
35,09/08/2018 19:45:34,114.105,26.585,0.313
36,09/08/2018 20:00:35,113.937,26.585,0.296
37,09/08/2018 20:15:36,113.794,26.585,0.282
38,09/08/2018 20:30:37,113.717,26.585,0.275
39,09/08/2018 20:45:38,113.639,26.585,0.267
40,09/08/2018 21:00:39,113.587,26.585,0.262
41,09/08/2018 21:15:40,113.561,26.585,0.259
42,09/08/2018 21:30:41,113.535,26.585,0.256
43,09/08/2018 21:45:42,113.510,26.585,0.254
44,09/08/2018 22:00:43,113.510,26.585,0.254
45,09/08/2018 22:15:44,113.471,26.585,0.250
46,09/08/2018 22:30:45,113.471,26.585,0.250
47,09/08/2018 22:45:46,113.471,26.585,0.250
48,09/08/2018 23:00:47,113.652,26.585,0.268
49,09/08/2018 23:15:48,116.309,26.585,0.532
50,09/08/2018 23:30:49,118.477,26.585,0.748
51,09/08/2018 23:45:50,119.591,26.488,0.859
52,09/09/2018 00:00:51,120.413,26.585,0.941
53,09/09/2018 00:15:52,121.272,26.585,1.026
54,09/09/2018 00:30:53,122.366,26.585,1.135
55,09/09/2018 00:45:54,123.525,26.585,1.250
56,09/09/2018 01:00:55,124.620,26.585,1.359
57,09/09/2018 01:15:56,125.429,26.585,1.440
58,09/09/2018 01:30:57,125.846,26.585,1.481
59,09/09/2018 01:45:58,125.859,26.585,1.482
60,09/09/2018 02:00:59,125.569,26.488,1.454
61,09/09/2018 02:16:00,125.050,26.585,1.402
62,09/09/2018 02:31:01,124.398,26.585,1.337
63,09/09/2018 02:46:02,123.655,26.585,1.263
64,09/09/2018 03:01:03,122.913,26.585,1.189
65,09/09/2018 03:16:04,122.157,26.585,1.114
66,09/09/2018 03:31:05,121.428,26.585,1.042
67,09/09/2018 03:46:06,120.674,26.585,0.967
68,09/09/2018 04:01:07,119.945,26.585,0.894
69,09/09/2018 04:16:08,119.191,26.585,0.819
70,09/09/2018 04:31:09,118.412,26.585,0.742
71,09/09/2018 04:46:10,117.607,26.585,0.662
72,09/09/2018 05:01:11,116.867,26.585,0.588
73,09/09/2018 05:16:12,116.179,26.585,0.519
74,09/09/2018 05:31:13,115.609,26.585,0.463
75,09/09/2018 05:46:14,115.168,26.585,0.419
76,09/09/2018 06:01:15,114.766,26.585,0.379
77,09/09/2018 06:16:16,114.481,26.585,0.351
78,09/09/2018 06:31:17,114.261,26.585,0.329
79,09/09/2018 06:46:18,114.105,26.585,0.313
